Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,CH3OH,all
3.293992,0.07534880467908656,0.022978309279764884,0.0393284099957682,0.13765552395461966
3.296293,0.07349239967897668,0.021860374492241343,0.03846328921901795,0.13381606339023594
3.298595,0.07209193670985678,0.020758514584015533,0.03752461369154177,0.13037506498541407
3.300897,0.07094915892705493,0.019668345497097145,0.036896232046267095,0.12751373647041914
3.3031980000000005,0.07053413477064098,0.019025350325188185,0.035827009014191204,0.12538649411002034
3.3055,0.0706968320338361,0.017918132123863124,0.03528095023562305,0.12389591439332227
3.307801,0.07162966215065858,0.01718745579214839,0.034725636223519867,0.12354275416632685
3.310103,0.07391326924604434,0.016194223098570836,0.03443190433817054,0.12453939668278573
3.3124050000000005,0.07790860742786053,0.01569444048767796,0.034270668427638824,0.1278737163431773
3.314706,0.08420752452479596,0.015046574140224232,0.03426043895899482,0.133514537624015
3.317008,0.09193369605634756,0.014339279451124372,0.03481672720620697,0.14108970271367888
3.31931,0.09984156243571883,0.013677773812145305,0.035332584696397565,0.1488519209442617
3.321611,0.10611758500759393,0.01319991149120387,0.03606179967544887,0.15537929617424667
3.323913,0.10917083783905253,0.012296308427649982,0.038161763452797,0.1596289097194995
3.326214,0.1059256606911302,0.011871054802592007,0.040438550902420115,0.1582352663961423
3.3285160000000005,0.09675080155256556,0.011413164301384109,0.04315179568085415,0.1513157615348038
3.330818,0.08331512516499504,0.010795012124753449,0.047212894732524616,0.14132303202227312
3.3331190000000004,0.0690104310602385,0.010507125650057842,0.05138115964617993,0.1308987163564763
3.335421,0.05729671522774241,0.009836851895098194,0.056081844046878035,0.12321541116971865
3.3377230000000004,0.04955933999243787,0.009406727094495457,0.06131689640483685,0.12028296349177015
3.340024,0.0449882288612305,0.009115917914472992,0.06649836583180325,0.12060251260750675
3.3423260000000004,0.04186629245459071,0.008697483935177691,0.07203348260331957,0.122597258993088
3.344627,0.0400079389842629,0.00833945253263747,0.07628991579433514,0.12463730731123553
3.3469290000000003,0.03846767327700824,0.007848438037725173,0.08001003255787208,0.1263261438726055
3.349231,0.03715050740970382,0.007525966216661736,0.08281193273122082,0.12748840635758638
3.351532,0.03624495587593203,0.007274126440997394,0.08508628459307155,0.12860536691000096
3.3538339999999995,0.03536473445499301,0.006857640931919995,0.08598988765662544,0.12821226304353844
3.356135,0.03473683992727282,0.006415338192455344,0.08661778218434563,0.12776996030407378
3.3584370000000003,0.033880974384057634,0.0064241063084359215,0.08657442872199722,0.12687950941449078
3.360739,0.033192677279582354,0.005846384888826806,0.08653204949475778,0.12557111166316692
3.3630400000000003,0.032587677276922564,0.0056486151617093526,0.08715799555226006,0.12539428799089194
3.365342,0.03206305167075138,0.005360241569459271,0.08902706560878634,0.126450358848997
3.3676440000000003,0.03134845021833437,0.005084533033625579,0.09152549154569624,0.1279584747976562
3.3699449999999995,0.03085207743032283,0.0049257327108662464,0.09516961797073484,0.13094742811192392
3.372247,0.030230515430810838,0.00445907409367777,0.09790916709711063,0.13259875662159926
3.3745480000000003,0.029707351177303082,0.004397697281813732,0.10070911880024146,0.13481416725935827
3.37685,0.029129629757693967,0.004241819664381257,0.10324553990640056,0.13661698932847574
3.3791519999999995,0.028497351171983487,0.003907657022010385,0.1047380680933165,0.13714307628731034
3.381453,0.028039460670775597,0.003760547520558486,0.10608348677878056,0.13788349497011465
3.3837550000000003,0.027613719928163145,0.003398619177582455,0.10670163895541122,0.13771397806115682
3.386057,0.027223051649473,0.0034224879377518034,0.1067493764757499,0.13739491606297471
3.388358,0.02661853876436768,0.003195978274920237,0.10675570900395813,0.13657022604324606
3.39066,0.02613921509076281,0.002917347033759686,0.10610638130384097,0.13516294342836346
3.392961,0.025766083044033824,0.002944625616810369,0.10615996423483336,0.13487067289567756
3.395263,0.025526421207231392,0.00274052336148472,0.10548725489210134,0.13375419946081746
3.397565,0.025111397050817424,0.0025281401077329718,0.10553596664754898,0.13317550380609938
3.3998660000000003,0.02493700896631484,0.002597310800468633,0.10549066471498267,0.13302498448176614
