Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,HNCO_NH3,all
3.245658,0.162671023869985,0.0641714607551123,0.008662083870083706,0.23550456849518106
3.247959,0.15666011497192975,0.061025380051286965,0.008728696306566834,0.22641419132978355
3.250261,0.15081104962325573,0.0581723940679874,0.008800242997604268,0.21778368668884734
3.252562,0.14544948862454715,0.05549901495046455,0.008863894881354811,0.2098123984563665
3.254864,0.14013332276773816,0.053026953418757385,0.008937908699669397,0.20209818488616493
3.257166,0.13508804748596054,0.05056426697070339,0.009002054008875372,0.1946543684655393
3.259467,0.1295809259778999,0.04808233692988762,0.009064225616259624,0.1867274885240472
3.261769,0.12472019181645333,0.04564530860551602,0.009141199987306795,0.17950670040927613
3.264071,0.1201648880119183,0.043288215204924166,0.009203371594691048,0.17265647481153348
3.266372,0.1157526775894581,0.04135546769600261,0.00926751690389702,0.16637566218935773
3.2686740000000003,0.1113641515888586,0.03955199765640387,0.009340050445845316,0.1602561996911078
3.270975,0.10730918119613016,0.03741595885984491,0.009402222053229568,0.15412736210920466
3.273277,0.1031254267595343,0.035803937896953235,0.009477716147910448,0.14840708080439802
3.275579,0.09959003337137423,0.0340522775301747,0.009537914053472974,0.14318022495502192
3.27788,0.09579411134274686,0.03243926971637216,0.009531992948007807,0.13776537400712682
3.280182,0.0924703974749665,0.030726589960572637,0.009518670460711184,0.1327156578962503
3.282484,0.08934257351299213,0.029473782729234413,0.009510282227968864,0.1283266384701954
3.284785,0.08619747966007765,0.0278306759626506,0.00949893344249396,0.1235270890652222
3.287087,0.08344811302241849,0.026728856920674136,0.009478209573365877,0.11965517951645847
3.289388,0.08079397749765745,0.02555845174039282,0.009470314766078987,0.11582274400412924
3.29169,0.07849954912990527,0.024427027171090517,0.009462419958792096,0.1123889962597879
3.293992,0.0763245297223673,0.02327586558357099,0.009441696089664012,0.10904209139560232
3.296293,0.0744440853117214,0.02214345416335782,0.00943133415509997,0.1060188736301792
3.298595,0.0730254871273585,0.021027325783173862,0.009419985369625069,0.10347279828015744
3.300897,0.07186791100891837,0.01992303961392024,0.009408143158694732,0.10119909378153334
3.3031980000000005,0.07144751252089153,0.019271718012751887,0.009390873267754665,0.10011010380139808
3.3055,0.07161231662300534,0.018150161952558197,0.009383471885923205,0.09914595046148672
3.307801,0.0725572263701549,0.017410023769412333,0.009374096802270023,0.09934134694183726
3.310103,0.0748704049052134,0.0164039292657894,0.00935238608223108,0.10062672025323388
3.3124050000000005,0.07891748049065499,0.015897674748517627,0.009345478125855051,0.10416063336502766
3.314706,0.0852979650548277,0.01524141889279497,0.009328701660370413,0.10986808560799308
3.317008,0.09312418620341203,0.014524965131509774,0.009316859449440077,0.11696601078436188
3.31931,0.10113445504687192,0.013854893363035059,0.009306004089420604,0.1242953524993276
3.321611,0.10749174861463946,0.013370842991257664,0.009295148729401131,0.13015774033529826
3.323913,0.11058453936927827,0.012455538771433955,0.00927541171118391,0.13231548985189612
3.326214,0.1072973389851998,0.012024778348843062,0.00926850375480788,0.12859062108885075
3.3285160000000005,0.09800367053216497,0.011560958420738324,0.009260115522065562,0.11882474447496885
3.330818,0.0843940096204789,0.010934801517796926,0.009238404802026616,0.10456721594030244
3.3331190000000004,0.06990407769630469,0.010643187073637456,0.009229523143828864,0.08977678791377101
3.335421,0.05803867576956572,0.009964233646964991,0.009222615187452838,0.07722552460398352
3.3377230000000004,0.050201105835506486,0.009528538969819795,0.009203371594691048,0.06893301640001732
3.340024,0.04557080136174599,0.009233963972927741,0.009192516234671572,0.06399728156934531
3.3423260000000004,0.04240843761789145,0.008810111506712879,0.0091816608746521,0.06040020999925644
3.344627,0.04052601950542382,0.008447443796971408,0.009169325238266338,0.058142788540661565
3.3469290000000003,0.038965808215352345,0.007950070937897392,0.00915402904914799,0.05606990820239773
3.349231,0.037631585783868084,0.007623423286402351,0.009146627667316531,0.05440163673758696
3.351532,0.036714307862222635,0.007368322325944745,0.009135772307297058,0.05321840249546445
