Wavelength,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,CH3OH,all
3.172006,0.0005546377897048622,0.4303609496109574,0.14443567521809686,0.5753512626187591
3.174307,0.00048568282125506865,0.42121792053346224,0.14065314542704654,0.5623567487817639
3.176609,0.00042822034754690726,0.41205990124543457,0.13746722601519232,0.5499553476081738
3.1789110000000003,0.0003812510212115405,0.40257409602042815,0.13390555199265514,0.5368608990342949
3.181212,0.00034177680014245567,0.3927090384689479,0.13069564824394886,0.5237464635130392
3.183514,0.00030629996854872126,0.3835200394124863,0.1270905026108672,0.5109168419919021
3.1858150000000003,0.0002743208527459184,0.3738123790715979,0.1240115133674786,0.4980982132918225
3.188117,0.0002463391264184658,0.3646378705519844,0.1210224653872854,0.4859066750656883
3.190419,0.00022185511588194496,0.3551015982848517,0.11799644155444515,0.4733198949551788
3.19272,0.00019986947376751798,0.3461839220390295,0.11509633549007847,0.4614801270028755
3.1950220000000003,0.0001788831790219286,0.33658069349818465,0.112222712130986,0.4489822888081926
3.197323,0.00015689753690750158,0.3278219134840076,0.10924965370869416,0.4372284647296093
3.199625,0.0001354115684774934,0.3191111021435348,0.1066398580549748,0.4258863717669871
3.201927,0.00011392560004748523,0.31011697582399644,0.10412000366445083,0.4143509050884947
3.204228,9.393865267073344e-05,0.3009064907991048,0.10138828763173324,0.4023887170835088
3.20653,7.645007371607562e-05,0.2924874888903325,0.09896536993598652,0.3915293089000351
3.208832,6.195953686793057e-05,0.2832650116970148,0.09691420946144737,0.3802411806953301
3.211133,4.94676947574607e-05,0.2753681687884602,0.09468816319736163,0.3701057996805793
3.213435,3.697585264699082e-05,0.26719700502715965,0.0917655718171961,0.3589995526970028
3.215736,2.348466316768336e-05,0.25901185040269536,0.08965045311105134,0.3486857881769144
3.218038,1.1492494741632285e-05,0.2508436846835013,0.08760129133124986,0.33845646850949285
3.22034,2.998042106512769e-06,0.2432021750276847,0.08554363509881326,0.3287488081686045
3.222641,3.497715790931565e-06,0.23535080242441214,0.08384624359284262,0.3192005437330457
3.224943,1.2491842110469874e-05,0.22749942982113966,0.0817291261919602,0.3092410478552103
3.227245,2.798172632745252e-05,0.21983243680741768,0.07969795266479779,0.2995583711985429
3.229546,4.646965265094793e-05,0.21253270395174348,0.07850123419061476,0.2910804077950092
3.231848,6.195953686793057e-05,0.20525545641186813,0.0765270234634761,0.2818444394122122
3.234149,7.095366318746887e-05,0.19804766351412706,0.0746152719468898,0.2727338891242043
3.236451,7.7949094769332e-05,0.19088783929009007,0.07335959197794538,0.26432538036280484
3.238753,8.89419158265455e-05,0.18433661761367529,0.07135689985079484,0.25578245938029665
3.241054,0.00010443180004352812,0.17772093803197045,0.07008922771342438,0.2479145975454383
3.2433560000000003,0.00012092103162934837,0.17101082012391045,0.06821295302843178,0.2393446941839716
3.245658,0.00013241352637098064,0.16473092125813504,0.06702173096477737,0.2318850657492834
3.247959,0.00013940895795284378,0.15864389643454527,0.06504202382711012,0.22382532921960824
3.250261,0.00014340634742819415,0.1527207645794449,0.06378884222658777,0.2166530131534609
3.252562,0.00014690406321912568,0.14729131032455026,0.06252766584711474,0.2099658802348841
3.254864,0.00015140112637889485,0.14190782604862218,0.060629905193692164,0.20268913236869324
3.257166,0.00015839655796075802,0.13679866262544,0.05943368639319356,0.1963907455765943
3.259467,0.0001673906842802963,0.1312218046336418,0.0581560207821347,0.1895452161000568
3.261769,0.00017688448428425341,0.12629951916843227,0.056923325802673536,0.18339972945539004
3.264071,0.00018338024218169768,0.12168653171387794,0.055318873602004784,0.17718878555806444
3.266372,0.00018737763165704808,0.1172184496278051,0.054411965864784674,0.17181779312424686
3.2686740000000003,0.00019187469481681723,0.11277435187858435,0.05260814386403282,0.16557437043743398
3.270975,0.0001993698000830992,0.1086680335400307,0.05136845345298978,0.1602358567931036
3.273277,0.00020886360008705624,0.10443130036984373,0.05011277348404535,0.1547529374539761
